G        BY,Estimate,S.E.,Est./S.E.,P-Value
DIGIT,0.53,0.01,52.417,0
MATH,0.72,0.007,98.11,0
RECOG,0.871,0.005,184.166,0
COMP,0.855,0.006,154.039,0
PPVT,0.695,0.01,68.815,0
