201 2 3 2
202 2 3 2
301 3 3 2
302 3 3 2
303 3 3 2
401 4 3 1
403 4 3 2
801 8 3 2
802 8 3 1
803 8 3 2
1001 10 3 2
1002 10 3 2
1201 12 3 1
1202 12 3 1
1601 16 3 1
1602 16 3 1
1603 16 3 2
1901 19 3 2
2001 20 3 2
2501 25 3 1
2502 25 3 2
2701 27 3 2
2702 27 3 1
3001 30 3 1
3002 30 3 1
3003 30 3 1
3501 35 3 2
3502 35 3 2
3701 37 3 2
4301 43 3 2
4302 43 3 2
4303 43 3 2
4304 43 3 2
4401 44 3 2
4402 44 3 2
4601 46 3 2
4602 46 3 2
4901 49 3 1
4902 49 3 1
5001 50 3 1
5002 50 3 1
5003 50 3 1
5004 50 3 1
5005 50 3 2
5701 57 3 1
5702 57 3 1
5703 57 3 2
5801 58 3 2
5802 58 3 2
5803 58 3 1
6101 61 3 2
6102 61 3 1
6103 61 3 1
6201 62 3 1
6202 62 3 2
6203 62 3 2
6801 68 3 2
6802 68 3 1
6803 68 3 2
7501 75 3 2
7502 75 3 2
7801 78 3 2
7802 78 3 2
7803 78 3 1
7804 78 3 2
8601 86 2 2
8901 89 2 2
9101 91 3 1
9102 91 3 1
9201 92 3 1
9202 92 3 1
9501 95 3 1
9502 95 3 1
9503 95 3 1
9601 96 3 2
9602 96 3 2
9603 96 3 1
9701 97 3 1
9702 97 3 1
9801 98 3 1
9802 98 3 1
9803 98 3 1
9901 99 3 1
9902 99 3 1
10001 100 3 1
10002 100 3 1
10003 100 3 2
10201 102 3 1
11101 111 3 2
11102 111 3 2
11103 111 3 1
11201 112 3 1
11202 112 3 2
11801 118 3 1
11802 118 3 2
12101 121 3 1
12401 124 3 2
12402 124 3 1
12801 128 3 1
12802 128 3 2
13301 133 3 1
13701 137 3 1
13702 137 3 2
13801 138 3 1
13802 138 3 1
13803 138 3 2
14001 140 3 1
14301 143 3 1
14302 143 3 1
14303 143 3 2
14304 143 3 1
14401 144 3 1
14402 144 3 2
14403 144 3 2
14701 147 3 2
14702 147 3 1
14901 149 3 2
14902 149 3 1
15301 153 3 1
15302 153 3 2
15701 157 3 2
15702 157 3 1
15801 158 3 2
15802 158 3 1
15901 159 3 1
