78 78 3 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
79 78 3 1 21 -4 -4 -4 -4 -4 -4 -4 -4 -4
80 80 3 1 19 -4 -5 -5 -5 -5 -4 -4 -4 -4
81 80 3 1 -4 -4 -5 -5 -5 -5 -4 -4 -4 -4
82 82 2 1 -5 -5 -5 -5 -5 -5 8 -4 -4 -4
83 83 2 1 11 -4 -4 -4 -4 -4 -4 -4 -4 -4
84 83 2 1 12 -4 -4 -4 -4 -4 -4 -4 -4 -4
85 85 2 1 16 -4 -4 -4 -4 -4 -4 -4 -4 -4
86 85 2 2 -4 16 -4 17 76 -2 -4 -4 -4 -4
87 85 2 1 8 -4 -5 -5 -5 -5 -4 -4 -4 -4
88 88 2 1 15 -4 -4 -4 -4 -4 -4 -4 -4 -4
89 89 2 2 -4 19 -4 -2 -2 -2 -4 19 78 -2
90 90 3 1 20 -4 -4 -4 -4 -4 -4 -4 -4 -4
91 90 3 2 -4 18 -4 -4 -4 -4 -4 21 84 7
92 92 3 2 -4 20 -4 18 80 6 -4 -4 -4 -4
93 93 3 1 18 -4 -4 -4 -4 -4 -4 -4 -4 -4
94 94 3 1 17 -4 -4 -4 -4 -4 -4 -4 -4 -4
95 94 3 2 -4 18 -4 18 78 4 -4 -4 -4 -4
96 96 3 2 -4 16 -4 16 77 6 -4 -4 -4 -4
97 97 3 2 -4 16 -4 16 74 2 -4 -4 -4 -4
98 98 3 2 -4 18 -4 17 74 11 -4 -4 -4 -4
99 99 3 2 -5 -5 -5 -5 -5 -5 -4 -1 -2 -1
100 100 3 2 -4 18 -5 -5 -5 -5 -4 19 82 11
101 101 3 1 18 -4 -4 -4 -4 -4 -4 -4 -4 -4
102 101 3 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
103 103 3 1 18 -4 -4 -4 -4 -4 -4 -4 -4 -4
104 104 3 2 -4 -4 -4 19 77 10 -5 -5 -5 -5
105 105 3 2 -4 15 -4 12 70 3 -4 -4 -4 -4
106 106 3 1 19 -4 -4 -4 -4 -4 -4 -4 -4 -4
107 107 3 1 18 -4 -4 -4 -4 -4 -4 -4 -4 -4
108 107 3 1 18 -4 -4 -4 -4 -4 -4 -4 -4 -4
109 109 3 2 -4 19 -4 19 81 12 -4 -4 -4 -4
110 110 3 1 15 -4 -4 -4 -4 -4 -4 -4 -4 -4
111 110 3 2 -4 18 -4 18 77 6 -4 -4 -4 -4
112 110 3 2 -4 16 -4 17 80 12 -4 -4 -4 -4
113 113 3 1 16 -4 -4 -4 -4 -4 -4 -4 -4 -4
114 113 3 1 16 -4 -4 -4 -4 -4 -4 -4 -4 -4
115 115 3 2 -4 18 -4 18 78 2 -4 -4 -4 -4
116 115 3 2 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5
117 115 3 1 17 -4 -4 -4 -4 -4 -4 -4 -4 -4
118 118 3 2 -4 15 -4 15 76 6 -4 -4 -4 -4
119 118 3 1 20 -4 -4 -4 -4 -4 -4 -4 -4 -4
120 120 3 1 -4 -4 19 -4 -4 -4 -4 -4 -4 -4
121 120 3 2 -4 -4 -4 18 82 10 -4 -4 -4 -4
122 122 3 1 16 -4 -4 -4 -4 -4 -4 -4 -4 -4
123 123 3 1 -4 -4 -4 -4 -4 -4 22 -4 -4 -4
