G        BY,Estimate,S.E.,Est./S.E.,P-Value
DIGIT,0.547,0.01,54.424,0
MATH,0.731,0.007,97.858,0
RECOG,0.852,0.005,167.992,0
COMP,0.848,0.006,149.36,0
PPVT,0.743,0.009,81.385,0
