"CASEID" "ASEID" "MCASEID" "dup"
"246" 33302 2 333 2
"247" 33501 1 335 1
"248" 33801 1 338 2
"249" 33802 2 338 2
"250" 33901 1 339 1
"251" 34001 1 340 3
"252" 34002 2 340 3
"253" 34003 3 340 3
"254" 34301 1 343 1
"255" 34401 1 344 2
"256" 34402 2 344 2
"257" 34701 1 347 2
"258" 34702 2 347 2
"259" 35401 1 354 2
"260" 35402 2 354 2
"261" 36901 1 369 2
"262" 36902 2 369 2
"263" 37101 1 371 1
"264" 37301 1 373 2
"265" 37302 2 373 2
"266" 37401 1 374 3
"267" 37402 2 374 3
"268" 37403 3 374 3
"269" 37901 1 379 3
"270" 37902 2 379 3
"271" 37903 3 379 3
"272" 38201 1 382 2
"273" 38202 2 382 2
"274" 38501 1 385 3
"275" 38502 2 385 3
"276" 38503 3 385 3
"277" 38801 1 388 3
"278" 38802 2 388 3
"279" 38803 3 388 3
"280" 39001 1 390 1
"281" 39101 1 391 3
"282" 39102 2 391 3
"283" 39103 3 391 3
"284" 39501 1 395 2
"285" 39502 2 395 2
"286" 39701 1 397 4
"287" 39702 2 397 4
"288" 39703 3 397 4
"289" 39704 4 397 4
"290" 39901 1 399 1
"291" 40001 1 400 1
"292" 40101 1 401 2
"293" 40102 2 401 2
"294" 40201 1 402 3
"295" 40202 2 402 3
"296" 40203 3 402 3
"297" 40501 1 405 3
"298" 40502 2 405 3
"299" 40503 3 405 3
"300" 40701 1 407 2
"301" 40702 2 407 2
"302" 41401 1 414 2
"303" 41402 2 414 2
"304" 41601 1 416 4
"305" 41602 2 416 4
"306" 41603 3 416 4
"307" 41604 4 416 4
"308" 41801 1 418 1
"309" 42501 1 425 5
"310" 42502 2 425 5
"311" 42503 3 425 5
"312" 42504 4 425 5
"313" 42505 5 425 5
"314" 42701 1 427 1
"315" 42801 1 428 2
"316" 42802 2 428 2
"317" 43101 1 431 3
"318" 43102 2 431 3
"319" 43103 3 431 3
"320" 43701 1 437 3
"321" 43702 2 437 3
"322" 43703 3 437 3
"323" 43801 1 438 1
"324" 43901 1 439 2
"325" 43902 2 439 2
"326" 44201 1 442 3
"327" 44202 2 442 3
"328" 44203 3 442 3
"329" 44401 1 444 2
"330" 44402 2 444 2
"331" 44601 1 446 2
"332" 44602 2 446 2
"333" 44901 1 449 2
"334" 44902 2 449 2
"335" 45201 1 452 2
"336" 45202 2 452 2
"337" 45501 1 455 2
"338" 45502 2 455 2
"339" 45801 1 458 1
"340" 45901 1 459 3
"341" 45902 2 459 3
"342" 45903 3 459 3
"343" 46201 1 462 1
"344" 46501 1 465 1
"345" 46701 1 467 2
"346" 46702 2 467 2
"347" 47101 1 471 2
"348" 47102 2 471 2
"349" 47201 1 472 1
"350" 47401 1 474 3
"351" 47402 2 474 3
"352" 47403 3 474 3
"353" 47501 1 475 1
"354" 47601 1 476 2
"355" 47602 2 476 2
"356" 47801 1 478 2
"357" 47802 2 478 2
"358" 48502 2 485 2
"359" 48503 3 485 2
"360" 49201 1 492 3
"361" 49202 2 492 3
"362" 49203 3 492 3
"363" 49401 1 494 2
"364" 49402 2 494 2
"365" 49501 1 495 2
"366" 49502 2 495 2
"367" 49901 1 499 1
"368" 50101 1 501 2
"369" 50102 2 501 2
"370" 50402 2 504 2
"371" 50403 3 504 2
"372" 50601 1 506 1
"373" 50701 1 507 2
"374" 50702 2 507 2
"375" 51401 1 514 3
"376" 51402 2 514 3
"377" 51403 3 514 3
"378" 51901 1 519 1
"379" 52201 1 522 2
"380" 52202 2 522 2
"381" 52801 1 528 2
"382" 52802 2 528 2
"383" 53002 2 530 2
"384" 53003 3 530 2
"385" 53301 1 533 1
"386" 53601 1 536 2
"387" 53602 2 536 2
"388" 54201 1 542 2
"389" 54202 2 542 2
"390" 54401 1 544 1
"391" 54601 1 546 2
"392" 54602 2 546 2
"393" 54801 1 548 4
"394" 54802 2 548 4
"395" 54803 3 548 4
"396" 54804 4 548 4
"397" 55001 1 550 2
"398" 55002 2 550 2
"399" 55201 1 552 2
"400" 55202 2 552 2
"401" 55701 1 557 4
"402" 55702 2 557 4
"403" 55703 3 557 4
"404" 55704 4 557 4
"405" 55801 1 558 3
"406" 55802 2 558 3
"407" 55803 3 558 3
"408" 56301 1 563 3
"409" 56302 2 563 3
"410" 56303 3 563 3
"411" 56701 1 567 2
"412" 56702 2 567 2
"413" 56801 1 568 1
"414" 57601 1 576 4
"415" 57602 2 576 4
"416" 57603 3 576 4
"417" 57604 4 576 4
"418" 57901 1 579 2
"419" 57902 2 579 2
"420" 58501 1 585 5
"421" 58502 2 585 5
"422" 58503 3 585 5
"423" 58504 4 585 5
"424" 58505 5 585 5
"425" 58801 1 588 4
"426" 58802 2 588 4
"427" 58803 3 588 4
"428" 58804 4 588 4
"429" 58901 1 589 2
"430" 58902 2 589 2
"431" 59001 1 590 4
"432" 59002 2 590 4
"433" 59003 3 590 4
"434" 59004 4 590 4
"435" 60401 1 604 4
"436" 60402 2 604 4
"437" 60403 3 604 4
"438" 60404 4 604 4
"439" 60801 1 608 3
"440" 60802 2 608 3
"441" 60803 3 608 3
"442" 61101 1 611 2
"443" 61102 2 611 2
"444" 61401 1 614 2
"445" 61402 2 614 2
"446" 61501 1 615 2
"447" 61502 2 615 2
"448" 61801 1 618 2
"449" 61802 2 618 2
"450" 61901 1 619 6
"451" 61902 2 619 6
"452" 61903 3 619 6
"453" 61904 4 619 6
"454" 61905 5 619 6
"455" 61906 6 619 6
"456" 62101 1 621 3
"457" 62102 2 621 3
"458" 62103 3 621 3
"459" 62201 1 622 3
"460" 62202 2 622 3
"461" 62203 3 622 3
"462" 62301 1 623 2
"463" 62302 2 623 2
"464" 62701 1 627 3
"465" 62702 2 627 3
"466" 62703 3 627 3
"467" 63201 1 632 3
"468" 63202 2 632 3
"469" 63203 3 632 3
"470" 63501 1 635 2
"471" 63502 2 635 2
"472" 64001 1 640 2
"473" 64002 2 640 2
"474" 64201 1 642 2
"475" 64202 2 642 2
"476" 64801 1 648 1
"477" 65001 1 650 2
"478" 65002 2 650 2
"479" 65401 1 654 1
"480" 65601 1 656 2
"481" 65602 2 656 2
"482" 65701 1 657 2
"483" 65702 2 657 2
"484" 66001 1 660 3
"485" 66002 2 660 3
"486" 66003 3 660 3
"487" 66201 1 662 2
"488" 66202 2 662 2
"489" 66401 1 664 2
"490" 66402 2 664 2
"491" 66501 1 665 2
"492" 66502 2 665 2
"493" 67701 1 677 4
"494" 67702 2 677 4
"495" 67703 3 677 4
"496" 67704 4 677 4
"497" 68801 1 688 2
"498" 68802 2 688 2
"499" 68901 1 689 2
"500" 68903 3 689 2
"501" 69101 1 691 1
"502" 69201 1 692 2
"503" 69202 2 692 2
"504" 69801 1 698 2
"505" 69802 2 698 2
"506" 70301 1 703 3
