"CASEID" "ASEID" "MCASEID" "dup"
"2163" 279602 2 2796 3
"2164" 279603 3 2796 3
"2165" 280401 1 2804 2
"2166" 280402 2 2804 2
"2167" 280801 1 2808 3
"2168" 280802 2 2808 3
"2169" 280803 3 2808 3
"2170" 280901 1 2809 2
"2171" 280902 2 2809 2
"2172" 281001 1 2810 1
"2173" 281402 2 2814 1
"2174" 281701 1 2817 2
"2175" 281702 2 2817 2
"2176" 281801 1 2818 2
"2177" 281802 2 2818 2
"2178" 281901 1 2819 2
"2179" 281902 2 2819 2
"2180" 282301 1 2823 2
"2181" 282302 2 2823 2
"2182" 282601 1 2826 3
"2183" 282602 2 2826 3
"2184" 282603 3 2826 3
"2185" 282801 1 2828 3
"2186" 282802 2 2828 3
"2187" 282803 3 2828 3
"2188" 282901 1 2829 2
"2189" 282902 2 2829 2
"2190" 283401 1 2834 2
"2191" 283402 2 2834 2
"2192" 283501 1 2835 2
"2193" 283502 2 2835 2
"2194" 284101 1 2841 3
"2195" 284102 2 2841 3
"2196" 284103 3 2841 3
"2197" 285001 1 2850 2
"2198" 285002 2 2850 2
"2199" 285501 1 2855 3
"2200" 285502 2 2855 3
"2201" 285503 3 2855 3
"2202" 286401 1 2864 1
"2203" 287701 1 2877 2
"2204" 287702 2 2877 2
"2205" 287803 3 2878 4
"2206" 287804 4 2878 4
"2207" 287805 5 2878 4
"2208" 287806 6 2878 4
"2209" 287901 1 2879 1
"2210" 288301 1 2883 3
"2211" 288302 2 2883 3
"2212" 288303 3 2883 3
"2213" 288501 1 2885 3
"2214" 288502 2 2885 3
"2215" 288503 3 2885 3
"2216" 288601 1 2886 3
"2217" 288602 2 2886 3
"2218" 288603 3 2886 3
"2219" 288701 1 2887 1
"2220" 288901 1 2889 2
"2221" 288902 2 2889 2
"2222" 289201 1 2892 3
"2223" 289202 2 2892 3
"2224" 289203 3 2892 3
"2225" 289401 1 2894 3
"2226" 289402 2 2894 3
"2227" 289403 3 2894 3
"2228" 290001 1 2900 2
"2229" 290002 2 2900 2
"2230" 290201 1 2902 2
"2231" 290202 2 2902 2
"2232" 290801 1 2908 3
"2233" 290802 2 2908 3
"2234" 290803 3 2908 3
"2235" 290901 1 2909 2
"2236" 290902 2 2909 2
"2237" 291101 1 2911 2
"2238" 291102 2 2911 2
"2239" 291801 1 2918 2
"2240" 291802 2 2918 2
"2241" 292601 1 2926 1
"2242" 292801 1 2928 2
"2243" 292802 2 2928 2
"2244" 293601 1 2936 1
"2245" 293801 1 2938 1
"2246" 294301 1 2943 2
"2247" 294302 2 2943 2
"2248" 294601 1 2946 2
"2249" 294602 2 2946 2
"2250" 294801 1 2948 4
"2251" 294802 2 2948 4
"2252" 294803 3 2948 4
"2253" 294804 4 2948 4
"2254" 294901 1 2949 4
"2255" 294902 2 2949 4
"2256" 294903 3 2949 4
"2257" 294904 4 2949 4
"2258" 295201 1 2952 1
"2259" 295501 1 2955 2
"2260" 295502 2 2955 2
"2261" 295901 1 2959 3
"2262" 295902 2 2959 3
"2263" 295903 3 2959 3
"2264" 296101 1 2961 3
"2265" 296102 2 2961 3
"2266" 296103 3 2961 3
"2267" 296401 1 2964 2
"2268" 296402 2 2964 2
"2269" 297001 1 2970 3
"2270" 297002 2 2970 3
"2271" 297003 3 2970 3
"2272" 297801 1 2978 2
"2273" 297802 2 2978 2
"2274" 297901 1 2979 3
"2275" 297902 2 2979 3
"2276" 297903 3 2979 3
"2277" 298301 1 2983 2
"2278" 298302 2 2983 2
"2279" 299001 1 2990 2
"2280" 299002 2 2990 2
"2281" 299301 1 2993 2
"2282" 299302 2 2993 2
"2283" 299501 1 2995 1
"2284" 300401 1 3004 4
"2285" 300402 2 3004 4
"2286" 300403 3 3004 4
"2287" 300404 4 3004 4
"2288" 301001 1 3010 1
"2289" 301101 1 3011 2
"2290" 301102 2 3011 2
"2291" 301201 1 3012 1
"2292" 301401 1 3014 1
"2293" 302001 1 3020 1
"2294" 302101 1 3021 4
"2295" 302102 2 3021 4
"2296" 302103 3 3021 4
"2297" 302104 4 3021 4
"2298" 302301 1 3023 2
"2299" 302302 2 3023 2
"2300" 302501 1 3025 2
"2301" 302502 2 3025 2
"2302" 302701 1 3027 3
"2303" 302702 2 3027 3
"2304" 302703 3 3027 3
"2305" 303501 1 3035 3
"2306" 303503 3 3035 3
"2307" 303504 4 3035 3
"2308" 303601 1 3036 2
"2309" 303602 2 3036 2
"2310" 304101 1 3041 4
"2311" 304102 2 3041 4
"2312" 304103 3 3041 4
"2313" 304104 4 3041 4
"2314" 304201 1 3042 1
"2315" 304301 1 3043 2
"2316" 304302 2 3043 2
"2317" 304501 1 3045 4
"2318" 304502 2 3045 4
"2319" 304503 3 3045 4
"2320" 304504 4 3045 4
"2321" 304602 2 3046 4
"2322" 304603 3 3046 4
"2323" 304604 4 3046 4
"2324" 304605 5 3046 4
"2325" 304701 1 3047 2
"2326" 304702 2 3047 2
"2327" 304901 1 3049 2
"2328" 304902 2 3049 2
"2329" 305101 1 3051 3
"2330" 305102 2 3051 3
"2331" 305103 3 3051 3
"2332" 305701 1 3057 2
"2333" 305702 2 3057 2
"2334" 305801 1 3058 4
"2335" 305802 2 3058 4
"2336" 305804 4 3058 4
"2337" 305805 5 3058 4
"2338" 306601 1 3066 1
"2339" 306901 1 3069 2
"2340" 306902 2 3069 2
"2341" 307301 1 3073 2
"2342" 307302 2 3073 2
"2343" 307401 1 3074 2
"2344" 307403 3 3074 2
"2345" 307501 1 3075 1
"2346" 307901 1 3079 1
"2347" 308001 1 3080 1
"2348" 308101 1 3081 1
"2349" 308501 1 3085 1
"2350" 309301 1 3093 2
"2351" 309302 2 3093 2
"2352" 309501 1 3095 2
"2353" 309502 2 3095 2
"2354" 309601 1 3096 2
"2355" 309602 2 3096 2
"2356" 309801 1 3098 2
"2357" 309802 2 3098 2
"2358" 309901 1 3099 2
"2359" 309902 2 3099 2
"2360" 310101 1 3101 3
"2361" 310102 2 3101 3
"2362" 310103 3 3101 3
"2363" 310501 1 3105 2
"2364" 310502 2 3105 2
"2365" 310601 1 3106 1
"2366" 310701 1 3107 2
"2367" 310702 2 3107 2
"2368" 310802 2 3108 2
"2369" 310803 3 3108 2
"2370" 310901 1 3109 1
"2371" 311101 1 3111 2
"2372" 311102 2 3111 2
"2373" 311301 1 3113 2
"2374" 311302 2 3113 2
"2375" 311501 1 3115 1
"2376" 311701 1 3117 2
"2377" 311702 2 3117 2
"2378" 311801 1 3118 2
"2379" 311802 2 3118 2
"2380" 311901 1 3119 1
"2381" 312001 1 3120 2
"2382" 312002 2 3120 2
"2383" 312101 1 3121 3
"2384" 312102 2 3121 3
"2385" 312103 3 3121 3
"2386" 312201 1 3122 2
"2387" 312202 2 3122 2
"2388" 312901 1 3129 2
"2389" 312902 2 3129 2
"2390" 313501 1 3135 1
"2391" 314501 1 3145 2
"2392" 314502 2 3145 2
"2393" 315001 1 3150 2
"2394" 315002 2 3150 2
"2395" 315101 1 3151 3
"2396" 315102 2 3151 3
"2397" 315103 3 3151 3
"2398" 315401 1 3154 3
"2399" 315402 2 3154 3
"2400" 315403 3 3154 3
"2401" 315502 2 3155 2
"2402" 315503 3 3155 2
"2403" 315601 1 3156 2
"2404" 315602 2 3156 2
"2405" 316201 1 3162 2
"2406" 316202 2 3162 2
"2407" 316301 1 3163 3
"2408" 316302 2 3163 3
"2409" 316303 3 3163 3
"2410" 316401 1 3164 2
"2411" 316402 2 3164 2
"2412" 316501 1 3165 3
"2413" 316502 2 3165 3
"2414" 316503 3 3165 3
"2415" 317801 1 3178 1
"2416" 317901 1 3179 1
"2417" 318201 1 3182 2
"2418" 318202 2 3182 2
"2419" 319001 1 3190 4
"2420" 319002 2 3190 4
"2421" 319005 5 3190 4
"2422" 319006 6 3190 4
"2423" 319701 1 3197 2
"2424" 319702 2 3197 2
"2425" 319801 1 3198 2
"2426" 319802 2 3198 2
"2427" 320101 1 3201 3
"2428" 320102 2 3201 3
"2429" 320103 3 3201 3
"2430" 320402 2 3204 1
"2431" 320601 1 3206 1
"2432" 322101 1 3221 2
"2433" 322102 2 3221 2
"2434" 322501 1 3225 4
"2435" 322502 2 3225 4
"2436" 322503 3 3225 4
"2437" 322505 5 3225 4
"2438" 323601 1 3236 1
"2439" 323701 1 3237 1
"2440" 324201 1 3242 2
"2441" 324202 2 3242 2
"2442" 324301 1 3243 3
"2443" 324302 2 3243 3
"2444" 324303 3 3243 3
"2445" 324401 1 3244 2
"2446" 324402 2 3244 2
"2447" 324501 1 3245 1
"2448" 324801 1 3248 2
"2449" 324802 2 3248 2
"2450" 325001 1 3250 4
"2451" 325002 2 3250 4
"2452" 325003 3 3250 4
"2453" 325004 4 3250 4
"2454" 325201 1 3252 1
"2455" 325401 1 3254 2
"2456" 325402 2 3254 2
"2457" 325901 1 3259 4
"2458" 325902 2 3259 4
"2459" 325903 3 3259 4
"2460" 325904 4 3259 4
"2461" 326001 1 3260 2
"2462" 326002 2 3260 2
"2463" 326802 2 3268 3
"2464" 326805 5 3268 3
"2465" 326808 8 3268 3
"2466" 326901 1 3269 1
"2467" 327301 1 3273 2
"2468" 327302 2 3273 2
"2469" 327801 1 3278 1
"2470" 328001 1 3280 2
"2471" 328002 2 3280 2
"2472" 328601 1 3286 1
"2473" 328701 1 3287 4
"2474" 328702 2 3287 4
"2475" 328703 3 3287 4
"2476" 328704 4 3287 4
"2477" 329101 1 3291 2
"2478" 329102 2 3291 2
"2479" 329301 1 3293 2
"2480" 329302 2 3293 2
"2481" 330301 1 3303 3
"2482" 330302 2 3303 3
"2483" 330303 3 3303 3
"2484" 330401 1 3304 1
"2485" 330601 1 3306 2
"2486" 330602 2 3306 2
"2487" 331503 3 3315 4
"2488" 331504 4 3315 4
"2489" 331505 5 3315 4
"2490" 331506 6 3315 4
"2491" 331601 1 3316 3
"2492" 331602 2 3316 3
"2493" 331604 4 3316 3
"2494" 331705 5 3317 1
"2495" 332201 1 3322 1
"2496" 332501 1 3325 1
"2497" 334101 1 3341 1
"2498" 334201 1 3342 1
"2499" 334701 1 3347 2
"2500" 334702 2 3347 2
"2501" 334801 1 3348 4
"2502" 334802 2 3348 4
"2503" 334804 4 3348 4
"2504" 334805 5 3348 4
"2505" 335001 1 3350 2
"2506" 335002 2 3350 2
"2507" 335202 2 3352 2
"2508" 335203 3 3352 2
"2509" 335501 1 3355 2
"2510" 335502 2 3355 2
"2511" 335801 1 3358 2
"2512" 335802 2 3358 2
"2513" 336001 1 3360 2
"2514" 336002 2 3360 2
"2515" 336301 1 3363 2
"2516" 336302 2 3363 2
"2517" 336401 1 3364 2
"2518" 336402 2 3364 2
"2519" 336501 1 3365 4
"2520" 336502 2 3365 4
"2521" 336503 3 3365 4
"2522" 336504 4 3365 4
"2523" 336901 1 3369 2
"2524" 336902 2 3369 2
"2525" 337002 2 3370 2
"2526" 337003 3 3370 2
"2527" 337101 1 3371 3
"2528" 337104 4 3371 3
"2529" 337105 5 3371 3
"2530" 337301 1 3373 1
"2531" 338701 1 3387 3
"2532" 338702 2 3387 3
"2533" 338703 3 3387 3
"2534" 339301 1 3393 2
"2535" 339302 2 3393 2
"2536" 339701 1 3397 3
"2537" 339702 2 3397 3
"2538" 339703 3 3397 3
"2539" 340201 1 3402 3
"2540" 340202 2 3402 3
"2541" 340203 3 3402 3
"2542" 340701 1 3407 2
"2543" 340702 2 3407 2
"2544" 340801 1 3408 2
"2545" 340802 2 3408 2
"2546" 341101 1 3411 1
"2547" 341201 1 3412 2
"2548" 341202 2 3412 2
"2549" 341301 1 3413 2
"2550" 341302 2 3413 2
"2551" 341601 1 3416 1
"2552" 341801 1 3418 1
"2553" 342101 1 3421 2
"2554" 342102 2 3421 2
"2555" 342201 1 3422 2
"2556" 342202 2 3422 2
"2557" 342301 1 3423 4
"2558" 342302 2 3423 4
"2559" 342303 3 3423 4
"2560" 342304 4 3423 4
"2561" 342401 1 3424 2
"2562" 342402 2 3424 2
"2563" 342601 1 3426 3
"2564" 342602 2 3426 3
"2565" 342603 3 3426 3
"2566" 342801 1 3428 3
"2567" 342802 2 3428 3
"2568" 342803 3 3428 3
"2569" 342901 1 3429 4
"2570" 342902 2 3429 4
"2571" 342903 3 3429 4
"2572" 342904 4 3429 4
"2573" 343001 1 3430 8
"2574" 343002 2 3430 8
"2575" 343003 3 3430 8
"2576" 343004 4 3430 8
"2577" 343005 5 3430 8
"2578" 343006 6 3430 8
"2579" 343007 7 3430 8
"2580" 343008 8 3430 8
"2581" 343201 1 3432 3
"2582" 343202 2 3432 3
"2583" 343203 3 3432 3
"2584" 343301 1 3433 3
"2585" 343302 2 3433 3
"2586" 343303 3 3433 3
"2587" 343401 1 3434 1
"2588" 343501 1 3435 2
"2589" 343502 2 3435 2
"2590" 343602 2 3436 2
"2591" 343604 4 3436 2
"2592" 343801 1 3438 2
"2593" 343803 3 3438 2
"2594" 344401 1 3444 2
"2595" 344402 2 3444 2
"2596" 344501 1 3445 1
"2597" 344601 1 3446 3
"2598" 344602 2 3446 3
"2599" 344603 3 3446 3
"2600" 344701 1 3447 5
"2601" 344702 2 3447 5
"2602" 344703 3 3447 5
"2603" 344704 4 3447 5
"2604" 344705 5 3447 5
"2605" 345101 1 3451 2
"2606" 345103 3 3451 2
"2607" 345201 1 3452 1
"2608" 345401 1 3454 3
"2609" 345402 2 3454 3
"2610" 345403 3 3454 3
"2611" 345601 1 3456 1
"2612" 345701 1 3457 2
"2613" 345702 2 3457 2
"2614" 345801 1 3458 3
"2615" 345802 2 3458 3
"2616" 345803 3 3458 3
"2617" 345901 1 3459 2
"2618" 345902 2 3459 2
"2619" 346501 1 3465 3
"2620" 346502 2 3465 3
"2621" 346503 3 3465 3
"2622" 346701 1 3467 3
"2623" 346702 2 3467 3
"2624" 346703 3 3467 3
"2625" 346901 1 3469 2
"2626" 346902 2 3469 2
"2627" 347501 1 3475 2
"2628" 347502 2 3475 2
"2629" 347601 1 3476 4
"2630" 347602 2 3476 4
"2631" 347603 3 3476 4
"2632" 347604 4 3476 4
"2633" 348001 1 3480 1
"2634" 348101 1 3481 3
"2635" 348102 2 3481 3
"2636" 348103 3 3481 3
"2637" 348601 1 3486 2
"2638" 348602 2 3486 2
"2639" 348701 1 3487 2
"2640" 348702 2 3487 2
"2641" 349101 1 3491 3
"2642" 349102 2 3491 3
"2643" 349103 3 3491 3
"2644" 350001 1 3500 1
"2645" 350201 1 3502 2
"2646" 350202 2 3502 2
"2647" 350501 1 3505 1
"2648" 350601 1 3506 3
"2649" 350602 2 3506 3
"2650" 350603 3 3506 3
"2651" 351101 1 3511 2
"2652" 351102 2 3511 2
"2653" 351201 1 3512 1
"2654" 351401 1 3514 3
"2655" 351402 2 3514 3
"2656" 351403 3 3514 3
"2657" 351801 1 3518 2
"2658" 351802 2 3518 2
"2659" 351901 1 3519 2
"2660" 351902 2 3519 2
"2661" 352201 1 3522 2
"2662" 352202 2 3522 2
"2663" 352301 1 3523 2
"2664" 352302 2 3523 2
"2665" 352401 1 3524 2
"2666" 352402 2 3524 2
"2667" 352701 1 3527 1
"2668" 353101 1 3531 2
"2669" 353102 2 3531 2
"2670" 353201 1 3532 4
"2671" 353202 2 3532 4
"2672" 353203 3 3532 4
"2673" 353204 4 3532 4
"2674" 353701 1 3537 2
"2675" 353702 2 3537 2
"2676" 354301 1 3543 3
"2677" 354302 2 3543 3
"2678" 354303 3 3543 3
"2679" 354401 1 3544 4
"2680" 354404 4 3544 4
"2681" 354407 7 3544 4
"2682" 354408 8 3544 4
"2683" 354501 1 3545 3
"2684" 354502 2 3545 3
"2685" 354503 3 3545 3
"2686" 354601 1 3546 2
"2687" 354602 2 3546 2
"2688" 354701 1 3547 1
"2689" 354801 1 3548 3
"2690" 354802 2 3548 3
"2691" 354803 3 3548 3
"2692" 354901 1 3549 2
"2693" 354902 2 3549 2
"2694" 355101 1 3551 2
"2695" 355102 2 3551 2
"2696" 355201 1 3552 2
"2697" 355202 2 3552 2
"2698" 355401 1 3554 1
"2699" 355501 1 3555 2
"2700" 355502 2 3555 2
"2701" 355603 3 3556 1
"2702" 355701 1 3557 3
"2703" 355702 2 3557 3
"2704" 355703 3 3557 3
"2705" 355801 1 3558 2
"2706" 355802 2 3558 2
"2707" 356001 1 3560 2
"2708" 356002 2 3560 2
"2709" 356401 1 3564 2
"2710" 356402 2 3564 2
"2711" 356501 1 3565 3
"2712" 356502 2 3565 3
"2713" 356503 3 3565 3
"2714" 356601 1 3566 3
"2715" 356602 2 3566 3
"2716" 356603 3 3566 3
"2717" 357201 1 3572 3
"2718" 357202 2 3572 3
"2719" 357203 3 3572 3
"2720" 357301 1 3573 2
"2721" 357302 2 3573 2
"2722" 357601 1 3576 2
"2723" 357602 2 3576 2
"2724" 358401 1 3584 2
"2725" 358402 2 3584 2
"2726" 358601 1 3586 2
"2727" 358602 2 3586 2
"2728" 359401 1 3594 3
"2729" 359402 2 3594 3
"2730" 359403 3 3594 3
"2731" 359701 1 3597 5
"2732" 359702 2 3597 5
"2733" 359703 3 3597 5
"2734" 359704 4 3597 5
"2735" 359705 5 3597 5
"2736" 360101 1 3601 3
"2737" 360102 2 3601 3
"2738" 360103 3 3601 3
"2739" 360301 1 3603 2
"2740" 360303 3 3603 2
"2741" 360501 1 3605 2
"2742" 360502 2 3605 2
"2743" 360601 1 3606 3
"2744" 360602 2 3606 3
"2745" 360603 3 3606 3
"2746" 360901 1 3609 3
"2747" 360902 2 3609 3
"2748" 360903 3 3609 3
"2749" 361001 1 3610 1
"2750" 361101 1 3611 3
"2751" 361102 2 3611 3
"2752" 361103 3 3611 3
"2753" 361301 1 3613 1
"2754" 361401 1 3614 2
"2755" 361402 2 3614 2
"2756" 362402 2 3624 1
"2757" 362601 1 3626 2
"2758" 362602 2 3626 2
"2759" 363301 1 3633 3
"2760" 363302 2 3633 3
"2761" 363303 3 3633 3
"2762" 363501 1 3635 1
"2763" 363701 1 3637 2
"2764" 363703 3 3637 2
"2765" 364101 1 3641 3
"2766" 364102 2 3641 3
"2767" 364103 3 3641 3
"2768" 364801 1 3648 4
"2769" 364803 3 3648 4
"2770" 364804 4 3648 4
"2771" 364805 5 3648 4
"2772" 364903 3 3649 1
"2773" 365001 1 3650 3
"2774" 365002 2 3650 3
"2775" 365003 3 3650 3
"2776" 365101 1 3651 1
"2777" 365201 1 3652 1
"2778" 365401 1 3654 10
"2779" 365402 2 3654 10
"2780" 365403 3 3654 10
"2781" 365404 4 3654 10
"2782" 365405 5 3654 10
"2783" 365406 6 3654 10
"2784" 365407 7 3654 10
"2785" 365408 8 3654 10
"2786" 365409 9 3654 10
"2787" 365410 10 3654 10
"2788" 365501 1 3655 2
"2789" 365502 2 3655 2
"2790" 365901 1 3659 3
"2791" 365902 2 3659 3
"2792" 365903 3 3659 3
"2793" 366101 1 3661 1
"2794" 366201 1 3662 2
"2795" 366202 2 3662 2
"2796" 366301 1 3663 2
"2797" 366302 2 3663 2
"2798" 366901 1 3669 3
"2799" 366902 2 3669 3
"2800" 366903 3 3669 3
"2801" 367701 1 3677 2
"2802" 367702 2 3677 2
"2803" 367901 1 3679 3
"2804" 367902 2 3679 3
"2805" 367903 3 3679 3
"2806" 368101 1 3681 2
"2807" 368102 2 3681 2
"2808" 368701 1 3687 2
"2809" 368702 2 3687 2
"2810" 369101 1 3691 3
"2811" 369102 2 3691 3
"2812" 369103 3 3691 3
"2813" 369201 1 3692 2
"2814" 369202 2 3692 2
"2815" 369701 1 3697 5
"2816" 369702 2 3697 5
"2817" 369703 3 3697 5
"2818" 369704 4 3697 5
"2819" 369705 5 3697 5
"2820" 369801 1 3698 3
"2821" 369802 2 3698 3
"2822" 369803 3 3698 3
"2823" 369901 1 3699 1
"2824" 370301 1 3703 3
"2825" 370302 2 3703 3
"2826" 370303 3 3703 3
"2827" 370401 1 3704 2
"2828" 370402 2 3704 2
"2829" 370501 1 3705 2
"2830" 370502 2 3705 2
"2831" 371101 1 3711 5
"2832" 371102 2 3711 5
"2833" 371103 3 3711 5
"2834" 371104 4 3711 5
"2835" 371105 5 3711 5
"2836" 371401 1 3714 3
"2837" 371402 2 3714 3
"2838" 371403 3 3714 3
"2839" 371501 1 3715 4
"2840" 371502 2 3715 4
"2841" 371503 3 3715 4
"2842" 371504 4 3715 4
"2843" 371701 1 3717 1
"2844" 371801 1 3718 3
"2845" 371802 2 3718 3
"2846" 371803 3 3718 3
"2847" 371901 1 3719 2
"2848" 371902 2 3719 2
"2849" 372001 1 3720 1
"2850" 372601 1 3726 2
"2851" 372602 2 3726 2
"2852" 372701 1 3727 1
"2853" 372801 1 3728 4
"2854" 372802 2 3728 4
"2855" 372803 3 3728 4
"2856" 372804 4 3728 4
"2857" 372901 1 3729 5
"2858" 372902 2 3729 5
"2859" 372903 3 3729 5
"2860" 372904 4 3729 5
"2861" 372905 5 3729 5
"2862" 373401 1 3734 3
"2863" 373402 2 3734 3
"2864" 373403 3 3734 3
"2865" 373501 1 3735 4
"2866" 373502 2 3735 4
"2867" 373503 3 3735 4
"2868" 373504 4 3735 4
"2869" 373601 1 3736 2
"2870" 373602 2 3736 2
"2871" 373701 1 3737 3
"2872" 373702 2 3737 3
"2873" 373703 3 3737 3
"2874" 373901 1 3739 2
"2875" 373902 2 3739 2
"2876" 374001 1 3740 2
"2877" 374002 2 3740 2
"2878" 374101 1 3741 1
"2879" 374401 1 3744 1
"2880" 374601 1 3746 3
"2881" 374602 2 3746 3
"2882" 374603 3 3746 3
"2883" 375201 1 3752 1
"2884" 375301 1 3753 4
"2885" 375302 2 3753 4
"2886" 375303 3 3753 4
"2887" 375304 4 3753 4
"2888" 375601 1 3756 1
"2889" 375801 1 3758 1
"2890" 375901 1 3759 3
"2891" 375902 2 3759 3
"2892" 375903 3 3759 3
"2893" 376802 2 3768 1
"2894" 376901 1 3769 3
"2895" 376902 2 3769 3
"2896" 376903 3 3769 3
"2897" 377001 1 3770 2
"2898" 377002 2 3770 2
"2899" 377101 1 3771 4
"2900" 377102 2 3771 4
"2901" 377103 3 3771 4
"2902" 377104 4 3771 4
"2903" 377201 1 3772 1
"2904" 377401 1 3774 1
"2905" 377901 1 3779 4
"2906" 377902 2 3779 4
"2907" 377903 3 3779 4
"2908" 377904 4 3779 4
"2909" 378101 1 3781 1
"2910" 378301 1 3783 2
"2911" 378302 2 3783 2
"2912" 378401 1 3784 2
"2913" 378402 2 3784 2
"2914" 378601 1 3786 2
"2915" 378602 2 3786 2
"2916" 378701 1 3787 4
"2917" 378702 2 3787 4
"2918" 378703 3 3787 4
"2919" 378704 4 3787 4
"2920" 379002 2 3790 1
"2921" 379101 1 3791 3
"2922" 379102 2 3791 3
"2923" 379103 3 3791 3
"2924" 379301 1 3793 2
"2925" 379302 2 3793 2
"2926" 379402 2 3794 2
"2927" 379403 3 3794 2
"2928" 379701 1 3797 1
"2929" 379801 1 3798 5
"2930" 379802 2 3798 5
"2931" 379803 3 3798 5
"2932" 379804 4 3798 5
"2933" 379805 5 3798 5
"2934" 379901 1 3799 1
"2935" 380001 1 3800 2
"2936" 380002 2 3800 2
"2937" 380201 1 3802 1
"2938" 380401 1 3804 2
"2939" 380402 2 3804 2
"2940" 380601 1 3806 2
"2941" 380602 2 3806 2
"2942" 380901 1 3809 1
"2943" 381201 1 3812 1
"2944" 381303 3 3813 2
"2945" 381304 4 3813 2
"2946" 381401 1 3814 1
"2947" 381701 1 3817 1
"2948" 381901 1 3819 4
"2949" 381902 2 3819 4
"2950" 381903 3 3819 4
"2951" 381904 4 3819 4
"2952" 382101 1 3821 2
"2953" 382102 2 3821 2
"2954" 382301 1 3823 2
"2955" 382302 2 3823 2
"2956" 383201 1 3832 1
"2957" 383601 1 3836 2
"2958" 383602 2 3836 2
"2959" 383701 1 3837 3
"2960" 383702 2 3837 3
"2961" 383703 3 3837 3
"2962" 383902 2 3839 2
"2963" 383903 3 3839 2
"2964" 384201 1 3842 3
"2965" 384202 2 3842 3
"2966" 384203 3 3842 3
"2967" 384301 1 3843 2
"2968" 384302 2 3843 2
"2969" 384601 1 3846 1
"2970" 384901 1 3849 1
"2971" 385101 1 3851 2
"2972" 385102 2 3851 2
"2973" 385301 1 3853 2
"2974" 385302 2 3853 2
"2975" 385901 1 3859 1
"2976" 387601 1 3876 1
"2977" 387701 1 3877 3
"2978" 387702 2 3877 3
"2979" 387703 3 3877 3
"2980" 387901 1 3879 2
"2981" 387902 2 3879 2
"2982" 388901 1 3889 2
"2983" 388902 2 3889 2
"2984" 389901 1 3899 4
"2985" 389902 2 3899 4
"2986" 389903 3 3899 4
"2987" 389904 4 3899 4
"2988" 390801 1 3908 2
"2989" 390802 2 3908 2
"2990" 391301 1 3913 2
"2991" 391302 2 3913 2
"2992" 391401 1 3914 1
"2993" 391501 1 3915 2
"2994" 391502 2 3915 2
"2995" 391801 1 3918 2
"2996" 391802 2 3918 2
"2997" 391901 1 3919 2
"2998" 391902 2 3919 2
"2999" 392101 1 3921 3
"3000" 392102 2 3921 3
"3001" 392103 3 3921 3
"3002" 392201 1 3922 1
"3003" 392301 1 3923 4
"3004" 392302 2 3923 4
"3005" 392303 3 3923 4
"3006" 392304 4 3923 4
"3007" 392401 1 3924 2
"3008" 392402 2 3924 2
"3009" 392701 1 3927 1
"3010" 392801 1 3928 1
"3011" 392901 1 3929 2
"3012" 392902 2 3929 2
"3013" 393101 1 3931 5
"3014" 393102 2 3931 5
"3015" 393103 3 3931 5
"3016" 393104 4 3931 5
"3017" 393105 5 3931 5
"3018" 393401 1 3934 1
"3019" 393501 1 3935 2
"3020" 393502 2 3935 2
"3021" 393601 1 3936 1
"3022" 394401 1 3944 2
"3023" 394402 2 3944 2
"3024" 394802 2 3948 3
"3025" 394803 3 3948 3
"3026" 394804 4 3948 3
"3027" 395201 1 3952 2
"3028" 395202 2 3952 2
"3029" 395301 1 3953 4
"3030" 395302 2 3953 4
"3031" 395303 3 3953 4
"3032" 395304 4 3953 4
"3033" 396001 1 3960 1
"3034" 396201 1 3962 4
"3035" 396202 2 3962 4
"3036" 396203 3 3962 4
"3037" 396204 4 3962 4
"3038" 396401 1 3964 2
"3039" 396402 2 3964 2
"3040" 396901 1 3969 2
"3041" 396902 2 3969 2
"3042" 397001 1 3970 3
"3043" 397002 2 3970 3
"3044" 397003 3 3970 3
"3045" 397201 1 3972 3
"3046" 397202 2 3972 3
"3047" 397203 3 3972 3
"3048" 397501 1 3975 2
"3049" 397504 4 3975 2
"3050" 397701 1 3977 1
"3051" 397801 1 3978 1
"3052" 398201 1 3982 4
"3053" 398202 2 3982 4
"3054" 398203 3 3982 4
"3055" 398204 4 3982 4
"3056" 398601 1 3986 2
"3057" 398602 2 3986 2
"3058" 398801 1 3988 2
"3059" 398802 2 3988 2
"3060" 399101 1 3991 2
"3061" 399102 2 3991 2
"3062" 399301 1 3993 3
"3063" 399302 2 3993 3
"3064" 399303 3 3993 3
"3065" 399501 1 3995 3
"3066" 399502 2 3995 3
"3067" 399503 3 3995 3
"3068" 399601 1 3996 1
"3069" 399801 1 3998 1
"3070" 400101 1 4001 2
"3071" 400102 2 4001 2
"3072" 400201 1 4002 2
"3073" 400202 2 4002 2
"3074" 400501 1 4005 3
"3075" 400502 2 4005 3
"3076" 400503 3 4005 3
"3077" 400701 1 4007 2
"3078" 400702 2 4007 2
"3079" 401201 1 4012 2
"3080" 401202 2 4012 2
"3081" 401501 1 4015 3
"3082" 401502 2 4015 3
"3083" 401503 3 4015 3
"3084" 401601 1 4016 2
"3085" 401602 2 4016 2
"3086" 401901 1 4019 2
"3087" 401902 2 4019 2
"3088" 402101 1 4021 1
"3089" 402301 1 4023 2
"3090" 402302 2 4023 2
"3091" 402402 2 4024 2
"3092" 402403 3 4024 2
"3093" 402601 1 4026 1
