"CASEID" "ASEID" "Intel_G2" "Intel_G2_SE" "MCASEID" "AFI_G2" "SiblinginSample" "dup"
"3145" 342201 1 1.226 0.543 3422 NA 1 2
"3146" 342202 2 2.173 0.543 3422 NA 1 2
"3147" 342301 1 1.397 0.543 3423 NA 0 4
"3148" 342302 2 1.86 0.543 3423 NA 0 4
"3149" 342303 3 1.931 0.543 3423 NA 0 4
"3150" 342304 4 1.518 0.573 3423 NA 0 4
"3151" 342401 1 1.12 0.543 3424 14 1 2
"3152" 342402 2 1.355 0.543 3424 19 1 2
"3153" 342601 1 1.969 0.573 3426 19 0 3
"3154" 342602 2 -0.044 0.543 3426 18 0 3
"3155" 342603 3 1.649 0.543 3426 NA 0 3
"3156" 342801 1 4.082 0.543 3428 NA 0 3
"3157" 342802 2 2.874 0.543 3428 21 0 3
"3158" 342803 3 3.436 0.543 3428 NA 0 3
"3159" 342901 1 2.328 0.543 3429 NA 0 4
"3160" 342902 2 1.907 0.543 3429 NA 0 4
"3161" 342903 3 1.744 0.543 3429 NA 0 4
"3162" 342904 4 -0.321 0.543 3429 NA 0 4
"3163" 343001 1 2.032 0.543 3430 18 0 8
"3164" 343002 2 1.883 0.543 3430 NA 0 8
"3165" 343003 3 0.419 0.543 3430 19 0 8
"3166" 343004 4 0.551 0.543 3430 17 0 8
"3167" 343005 5 0.725 0.543 3430 NA 0 8
"3168" 343006 6 1.556 0.573 3430 NA 0 8
"3169" 343007 7 -2.396 0.573 3430 NA 0 8
"3170" 343008 8 1.365 0.543 3430 NA 1 8
"3171" 343201 1 2.09 0.573 3432 NA 1 3
"3172" 343202 2 1.153 0.543 3432 NA 0 3
"3173" 343203 3 0.772 0.543 3432 NA 0 3
"3174" 343301 1 1.162 0.543 3433 NA 0 3
"3175" 343302 2 0.291 0.573 3433 NA 0 3
"3176" 343303 3 1.067 0.543 3433 NA 0 3
"3177" 343401 1 1.059 0.543 3434 NA 1 1
"3178" 343501 1 -1.586 0.543 3435 15 0 2
"3179" 343502 2 -0.417 0.573 3435 17 0 2
"3180" 343601 NA NA NA 3436 16 0 4
"3181" 343602 2 -0.031 0.543 3436 16 0 4
"3182" 343603 NA NA NA 3436 NA 0 4
"3183" 343604 4 1.073 0.573 3436 NA 1 4
"3184" 343801 1 0.125 0.573 3438 15 1 3
"3185" 343802 NA NA NA 3438 18 1 3
"3186" 343803 3 -2.152 0.543 3438 NA 1 3
"3187" 344201 NA NA NA 3442 NA 0 2
"3188" 344202 NA NA NA 3442 NA 0 2
"3189" 344401 1 -0.039 0.543 3444 16 0 2
"3190" 344402 2 0.209 0.543 3444 20 0 2
"3191" 344501 1 1.265 0.543 3445 16 0 1
"3192" 344601 1 0.54 0.543 3446 12 1 3
"3193" 344602 2 0.837 0.543 3446 17 0 3
"3194" 344603 3 -0.103 0.573 3446 16 0 3
"3195" 344701 1 0.214 0.555 3447 14 0 5
"3196" 344702 2 -2.23 0.543 3447 14.5 0 5
"3197" 344703 3 -2.287 0.543 3447 16 0 5
"3198" 344704 4 -3.159 0.573 3447 18 0 5
"3199" 344705 5 -1.844 0.543 3447 18 0 5
"3200" 344801 NA NA NA 3448 17 0 6
"3201" 344802 NA NA NA 3448 NA 0 6
"3202" 344803 NA NA NA 3448 16 0 6
"3203" 344804 NA NA NA 3448 NA 0 6
"3204" 344805 NA NA NA 3448 NA 0 6
"3205" 344806 NA NA NA 3448 NA 0 6
"3206" 345101 1 0.641 0.543 3451 NA 0 3
"3207" 345102 NA NA NA 3451 16 0 3
"3208" 345103 3 0.599 0.543 3451 14 0 3
"3209" 345201 1 0.761 0.543 3452 15 0 2
"3210" 345202 NA NA NA 3452 16 0 2
"3211" 345401 1 -0.187 0.543 3454 17 0 3
"3212" 345402 2 0.878 0.543 3454 22 0 3
"3213" 345403 3 1.593 0.573 3454 NA 0 3
"3214" 345601 1 -0.273 0.573 3456 15 0 2
"3215" 345602 NA NA NA 3456 14 0 2
"3216" 345701 1 -1.082 0.573 3457 12 0 2
"3217" 345702 2 0.107 0.543 3457 15 0 2
"3218" 345801 1 0.198 0.543 3458 17 0 3
"3219" 345802 2 0.268 0.543 3458 NA 0 3
"3220" 345803 3 0.283 0.543 3458 NA 0 3
"3221" 345901 1 3.449 0.543 3459 NA 0 2
"3222" 345902 2 2.719 0.543 3459 NA 0 2
"3223" 346501 1 2.157 0.543 3465 18 1 3
"3224" 346502 2 0.977 0.543 3465 18 0 3
"3225" 346503 3 1.571 0.543 3465 16 0 3
"3226" 346701 1 1.541 0.543 3467 NA 0 3
"3227" 346702 2 -1.464 0.543 3467 NA 0 3
"3228" 346703 3 0.674 0.573 3467 NA 0 3
"3229" 346901 1 2.581 0.543 3469 NA 0 2
"3230" 346902 2 2.699 0.543 3469 NA 0 2
"3231" 347501 1 0.01 0.543 3475 18 0 3
"3232" 347502 2 0.201 0.543 3475 17 0 3
"3233" 347503 NA NA NA 3475 NA 0 3
"3234" 347601 1 0.637 0.543 3476 17 0 4
"3235" 347602 2 0.841 0.573 3476 NA 1 4
"3236" 347603 3 1.068 0.543 3476 NA 0 4
"3237" 347604 4 1.302 0.543 3476 NA 0 4
"3238" 348001 1 0.752 0.573 3480 NA 0 1
"3239" 348101 1 -0.699 0.543 3481 20 0 3
"3240" 348102 2 1.742 0.543 3481 21 0 3
"3241" 348103 3 0.862 0.543 3481 NA 0 3
"3242" 348501 NA NA NA 3485 NA 0 2
"3243" 348502 NA NA NA 3485 NA 0 2
"3244" 348601 1 0.526 0.543 3486 NA 0 4
"3245" 348602 2 1.551 0.543 3486 16 1 4
"3246" 348603 NA NA NA 3486 16 1 4
"3247" 348604 NA NA NA 3486 17 1 4
"3248" 348701 1 1.921 0.543 3487 18 0 3
"3249" 348702 2 0.599 0.543 3487 18 0 3
"3250" 348703 NA NA NA 3487 17 0 3
"3251" 349101 1 -0.176 0.573 3491 15 0 3
"3252" 349102 2 -0.018 0.543 3491 16 0 3
"3253" 349103 3 0.259 0.543 3491 NA 0 3
"3254" 349801 NA NA NA 3498 NA 0 2
"3255" 349802 NA NA NA 3498 NA 0 2
"3256" 350001 1 1.018 0.555 3500 NA 0 3
"3257" 350002 NA NA NA 3500 NA 1 3
"3258" 350003 NA NA NA 3500 NA 0 3
"3259" 350101 NA NA NA 3501 NA 0 1
"3260" 350201 1 0.841 0.543 3502 16 0 2
"3261" 350202 2 0.027 0.543 3502 NA 0 2
"3262" 350401 NA NA NA 3504 NA 0 1
"3263" 350501 1 1.817 0.573 3505 NA 0 1
"3264" 350601 1 2.248 0.573 3506 15 0 3
"3265" 350602 2 0.235 0.543 3506 18 0 3
"3266" 350603 3 2.97 0.543 3506 NA 0 3
"3267" 351101 1 1.751 0.543 3511 16 0 2
"3268" 351102 2 0.65 0.543 3511 17 0 2
"3269" 351201 1 1.869 0.543 3512 NA 0 1
"3270" 351401 1 2.675 0.543 3514 NA 0 3
"3271" 351402 2 1.836 0.543 3514 NA 0 3
"3272" 351403 3 2.393 0.543 3514 14 1 3
"3273" 351801 1 1.137 0.543 3518 17 0 2
"3274" 351802 2 0.525 0.543 3518 NA 0 2
"3275" 351901 1 -4.346 0.698 3519 NA 0 3
"3276" 351902 2 1.631 0.573 3519 NA 0 3
"3277" 351903 NA NA NA 3519 NA 0 3
"3278" 352201 1 0.053 0.573 3522 15 0 2
"3279" 352202 2 0.917 0.543 3522 NA 0 2
"3280" 352301 1 0.599 0.543 3523 18 0 2
"3281" 352302 2 0.572 0.543 3523 16 0 2
"3282" 352401 1 -0.365 0.543 3524 16 0 2
"3283" 352402 2 -1.931 0.543 3524 14 1 2
"3284" 352701 1 1.252 0.543 3527 19 0 3
"3285" 352702 NA NA NA 3527 17 0 3
"3286" 352703 NA NA NA 3527 19 0 3
"3287" 353101 1 0.237 0.543 3531 NA 1 2
"3288" 353102 2 0.957 0.543 3531 18 0 2
"3289" 353201 1 -0.636 0.543 3532 15 0 4
"3290" 353202 2 0.383 0.543 3532 17 0 4
"3291" 353203 3 -0.996 0.573 3532 15 0 4
"3292" 353204 4 0.794 0.543 3532 18 0 4
"3293" 353601 NA NA NA 3536 NA 0 2
"3294" 353602 NA NA NA 3536 NA 0 2
"3295" 353701 1 1.916 0.543 3537 17 0 2
"3296" 353702 2 1.341 0.543 3537 17 0 2
"3297" 354201 NA NA NA 3542 15.5 0 3
"3298" 354202 NA NA NA 3542 17 1 3
"3299" 354203 NA NA NA 3542 17 0 3
"3300" 354301 1 -0.044 0.543 3543 19 0 3
"3301" 354302 2 0.123 0.543 3543 12 0 3
"3302" 354303 3 0.527 0.543 3543 NA 0 3
"3303" 354401 1 -1.179 0.543 3544 18 0 8
"3304" 354402 NA NA NA 3544 NA 0 8
"3305" 354403 NA NA NA 3544 NA 0 8
"3306" 354404 4 -4.217 0.543 3544 14 0 8
"3307" 354405 NA NA NA 3544 NA 0 8
"3308" 354406 NA NA NA 3544 NA 1 8
"3309" 354407 7 -4.304 0.543 3544 15 1 8
"3310" 354408 8 -4.835 0.543 3544 16 0 8
"3311" 354501 1 2.59 0.543 3545 15 0 3
"3312" 354502 2 2.099 0.543 3545 16 0 3
"3313" 354503 3 2.416 0.543 3545 14 0 3
"3314" 354601 1 -0.427 0.543 3546 17 0 2
"3315" 354602 2 2.603 0.573 3546 17 0 2
"3316" 354701 1 0.362 0.543 3547 22 0 1
"3317" 354801 1 0.161 0.543 3548 18 1 3
"3318" 354802 2 0.509 0.543 3548 17 1 3
"3319" 354803 3 0.673 0.543 3548 17 0 3
"3320" 354901 1 0.497 0.543 3549 18 0 2
"3321" 354902 2 0.942 0.543 3549 NA 1 2
"3322" 355101 1 0.768 0.543 3551 NA 1 2
"3323" 355102 2 0.476 0.543 3551 NA 0 2
"3324" 355201 1 -0.069 0.543 3552 NA 0 2
"3325" 355202 2 3.609 0.573 3552 NA 0 2
"3326" 355401 1 2.312 0.543 3554 17 1 1
"3327" 355501 1 0.4 0.543 3555 18 1 2
"3328" 355502 2 0.398 0.543 3555 15 0 2
"3329" 355601 NA NA NA 3556 NA 0 3
"3330" 355602 NA NA NA 3556 NA 0 3
"3331" 355603 3 0.11 0.543 3556 NA 0 3
"3332" 355701 1 -0.77 0.543 3557 21 0 3
"3333" 355702 2 -0.862 0.573 3557 NA 0 3
"3334" 355703 3 -0.58 0.543 3557 17 0 3
"3335" 355801 1 1.936 0.543 3558 16 0 2
"3336" 355802 2 -0.13 0.543 3558 18 0 2
"3337" 356001 1 1.512 0.543 3560 18 0 2
"3338" 356002 2 2.53 0.573 3560 NA 0 2
"3339" 356401 1 -0.551 0.543 3564 15 0 2
"3340" 356402 2 -1.157 0.573 3564 NA 1 2
"3341" 356501 1 0.526 0.543 3565 22 1 3
"3342" 356502 2 0.107 0.543 3565 NA 0 3
"3343" 356503 3 0.642 0.573 3565 22 0 3
"3344" 356601 1 1.983 0.543 3566 NA 0 3
"3345" 356602 2 0.582 0.543 3566 18 0 3
"3346" 356603 3 1.336 0.543 3566 19 0 3
"3347" 356801 NA NA NA 3568 NA 1 3
"3348" 356802 NA NA NA 3568 NA 0 3
"3349" 356803 NA NA NA 3568 NA 0 3
"3350" 357201 1 2.625 0.543 3572 16 0 3
"3351" 357202 2 3.257 0.543 3572 NA 0 3
"3352" 357203 3 1.502 0.543 3572 20 0 3
"3353" 357301 1 1.337 0.543 3573 19 0 2
"3354" 357302 2 2.209 0.543 3573 19 0 2
"3355" 357601 1 2.046 0.543 3576 17 0 2
"3356" 357602 2 2.206 0.543 3576 17 0 2
"3357" 358401 1 1.974 0.543 3584 NA 1 2
"3358" 358402 2 1.074 0.543 3584 15 1 2
"3359" 358601 1 1.834 0.543 3586 NA 1 2
"3360" 358602 2 -0.264 0.543 3586 19 0 2
"3361" 359401 1 1.319 0.543 3594 17 0 3
"3362" 359402 2 2.96 0.543 3594 20 0 3
"3363" 359403 3 1.679 0.543 3594 16 0 3
"3364" 359701 1 0.657 0.573 3597 18 0 5
"3365" 359702 2 0.383 0.543 3597 18 0 5
"3366" 359703 3 -2.102 0.543 3597 16 0 5
"3367" 359704 4 0.216 0.543 3597 15 0 5
"3368" 359705 5 2.241 0.543 3597 NA 0 5
"3369" 360101 1 0.583 0.543 3601 15 0 3
"3370" 360102 2 0.541 0.543 3601 15 0 3
"3371" 360103 3 0.48 0.543 3601 20 0 3
"3372" 360301 1 0.907 0.543 3603 19 0 3
"3373" 360302 NA NA NA 3603 NA 0 3
"3374" 360303 3 -0.476 0.543 3603 17 0 3
"3375" 360501 1 1.242 0.543 3605 14 0 2
"3376" 360502 2 2.139 0.543 3605 18 0 2
"3377" 360601 1 2.306 0.543 3606 18 0 3
"3378" 360602 2 0.55 0.543 3606 14 0 3
"3379" 360603 3 1.468 0.543 3606 17 0 3
"3380" 360901 1 1.153 0.543 3609 17 0 3
"3381" 360902 2 0.056 0.573 3609 NA 0 3
"3382" 360903 3 0.942 0.543 3609 NA 0 3
"3383" 361001 1 1.652 0.543 3610 17 0 1
"3384" 361101 1 1.262 0.543 3611 17 0 3
"3385" 361102 2 1.645 0.543 3611 21 0 3
"3386" 361103 3 -1.164 0.573 3611 NA 0 3
"3387" 361301 1 1.304 0.543 3613 18 0 1
"3388" 361401 1 0.801 0.543 3614 20 0 2
"3389" 361402 2 0.997 0.543 3614 20 0 2
"3390" 362401 NA NA NA 3624 NA 1 2
"3391" 362402 2 2.571 0.573 3624 NA 1 2
"3392" 362601 1 -0.11 0.543 3626 16 0 2
"3393" 362602 2 -0.629 0.543 3626 17 0 2
"3394" 363101 NA NA NA 3631 NA 0 1
"3395" 363301 1 1.447 0.543 3633 NA 0 3
"3396" 363302 2 2.071 0.543 3633 NA 0 3
"3397" 363303 3 -0.575 0.543 3633 NA 1 3
"3398" 363501 1 -2.165 0.543 3635 12.5 0 2
"3399" 363502 NA NA NA 3635 15 0 2
"3400" 363701 1 -0.353 0.543 3637 17.5 0 3
"3401" 363702 NA NA NA 3637 NA 0 3
"3402" 363703 3 -0.153 0.573 3637 NA 0 3
"3403" 364101 1 1.634 0.543 3641 19 0 3
"3404" 364102 2 -1.356 0.573 3641 21 0 3
"3405" 364103 3 0.403 0.573 3641 NA 0 3
"3406" 364701 NA NA NA 3647 NA 0 3
"3407" 364702 NA NA NA 3647 12 0 3
"3408" 364703 NA NA NA 3647 17 1 3
"3409" 364801 1 -3.571 0.543 3648 NA 1 5
"3410" 364802 NA NA NA 3648 NA 1 5
"3411" 364803 3 -1.718 0.543 3648 NA 1 5
"3412" 364804 4 -4.129 0.543 3648 15 1 5
"3413" 364805 5 -3.852 0.543 3648 16 0 5
"3414" 364901 NA NA NA 3649 17 0 3
"3415" 364902 NA NA NA 3649 16 0 3
"3416" 364903 3 -0.056 0.543 3649 20 1 3
"3417" 365001 1 -0.441 0.543 3650 18 0 3
"3418" 365002 2 -1.341 0.543 3650 17 0 3
"3419" 365003 3 0.211 0.543 3650 13 0 3
"3420" 365101 1 1.376 0.543 3651 16 0 1
"3421" 365201 1 1.461 0.573 3652 16 0 2
"3422" 365202 NA NA NA 3652 NA 0 2
"3423" 365401 1 -0.699 0.543 3654 22 1 10
"3424" 365402 2 -1.498 0.543 3654 25 1 10
"3425" 365403 3 -0.399 0.543 3654 18 0 10
"3426" 365404 4 -2.015 0.543 3654 15 0 10
"3427" 365405 5 -3.553 0.543 3654 18 0 10
"3428" 365406 6 -0.813 0.573 3654 NA 0 10
"3429" 365407 7 -0.367 0.543 3654 NA 0 10
"3430" 365408 8 -0.668 0.543 3654 NA 1 10
"3431" 365409 9 -1.066 0.543 3654 NA 0 10
"3432" 365410 10 -2.806 0.573 3654 NA 0 10
"3433" 365501 1 -0.22 0.543 3655 18 0 2
"3434" 365502 2 0.293 0.543 3655 16 0 2
"3435" 365901 1 -1.355 0.543 3659 13.5 0 3
"3436" 365902 2 -2.923 0.555 3659 18 0 3
"3437" 365903 3 -3.797 0.543 3659 14 0 3
"3438" 366101 1 0.203 0.543 3661 NA 0 1
"3439" 366201 1 0.078 0.543 3662 NA 0 2
"3440" 366202 2 1.151 0.573 3662 16 0 2
"3441" 366301 1 1.066 0.543 3663 NA 1 2
"3442" 366302 2 0.166 0.573 3663 NA 0 2
"3443" 366701 NA NA NA 3667 NA 0 1
"3444" 366901 1 1.271 0.543 3669 NA 0 3
"3445" 366902 2 0.292 0.573 3669 19 1 3
"3446" 366903 3 0.579 0.573 3669 NA 0 3
"3447" 367401 NA NA NA 3674 NA 0 2
"3448" 367402 NA NA NA 3674 NA 0 2
"3449" 367701 1 1.067 0.543 3677 NA 0 2
"3450" 367702 2 1.517 0.543 3677 NA 0 2
"3451" 367801 NA NA NA 3678 NA 0 1
"3452" 367901 1 0.851 0.543 3679 22 0 3
"3453" 367902 2 -1.848 0.543 3679 17 1 3
"3454" 367903 3 -2.247 0.543 3679 15 0 3
"3455" 368101 1 2.208 0.573 3681 17 0 2
"3456" 368102 2 1.568 0.543 3681 16 0 2
"3457" 368201 NA NA NA 3682 NA 0 3
"3458" 368202 NA NA NA 3682 NA 1 3
"3459" 368203 NA NA NA 3682 NA 0 3
"3460" 368701 1 0.951 0.573 3687 17 0 2
"3461" 368702 2 1.529 0.543 3687 17 1 2
"3462" 368801 NA NA NA 3688 NA 0 4
"3463" 368802 NA NA NA 3688 NA 0 4
"3464" 368803 NA NA NA 3688 NA 0 4
"3465" 368804 NA NA NA 3688 NA 0 4
"3466" 369101 1 -1.922 0.543 3691 18 0 3
"3467" 369102 2 -1.087 0.543 3691 NA 0 3
"3468" 369103 3 -3.034 0.543 3691 NA 0 3
"3469" 369201 1 -1 0.543 3692 17 0 2
"3470" 369202 2 -0.447 0.543 3692 NA 0 2
"3471" 369701 1 -0.64 0.543 3697 17 0 5
"3472" 369702 2 0.143 0.543 3697 15 0 5
"3473" 369703 3 -0.718 0.543 3697 14 0 5
"3474" 369704 4 0.56 0.543 3697 15 0 5
"3475" 369705 5 -0.39 0.573 3697 NA 0 5
"3476" 369801 1 0.129 0.543 3698 16 0 3
"3477" 369802 2 0.034 0.543 3698 19 0 3
"3478" 369803 3 0.057 0.543 3698 17 0 3
"3479" 369901 1 0.99 0.543 3699 17 0 1
"3480" 370301 1 0.419 0.543 3703 14 0 3
"3481" 370302 2 -1.553 0.543 3703 16 0 3
"3482" 370303 3 -2.018 0.543 3703 16 0 3
"3483" 370401 1 -0.026 0.578 3704 15.5 0 3
"3484" 370402 2 -1.093 0.543 3704 15 0 3
"3485" 370403 NA NA NA 3704 NA 1 3
"3486" 370501 1 2.91 0.543 3705 19 0 2
"3487" 370502 2 1.192 0.543 3705 16 0 2
"3488" 371101 1 0.04 0.543 3711 NA 0 5
"3489" 371102 2 3.109 0.543 3711 NA 0 5
"3490" 371103 3 1.023 0.543 3711 NA 0 5
"3491" 371104 4 0.208 0.573 3711 NA 0 5
"3492" 371105 5 -0.634 0.573 3711 NA 0 5
"3493" 371401 1 0.33 0.543 3714 13 0 3
"3494" 371402 2 -2.32 0.543 3714 16 0 3
"3495" 371403 3 -2.604 0.543 3714 16 0 3
"3496" 371501 1 0.71 0.543 3715 NA 0 4
"3497" 371502 2 0.39 0.543 3715 21 1 4
"3498" 371503 3 -0.703 0.543 3715 NA 0 4
"3499" 371504 4 -0.181 0.573 3715 NA 0 4
"3500" 371701 1 0.083 0.543 3717 17.5 0 2
"3501" 371702 NA NA NA 3717 NA 0 2
"3502" 371801 1 1.484 0.543 3718 NA 0 3
"3503" 371802 2 2.337 0.543 3718 19 0 3
"3504" 371803 3 1.644 0.573 3718 18 0 3
"3505" 371901 1 -0.96 0.543 3719 16 1 3
"3506" 371902 2 -0.405 0.543 3719 16 1 3
"3507" 371903 NA NA NA 3719 NA 0 3
"3508" 372001 1 0.916 0.543 3720 NA 0 2
"3509" 372002 NA NA NA 3720 NA 0 2
"3510" 372601 1 -0.8 0.543 3726 17 0 3
"3511" 372602 2 -0.755 0.543 3726 16 0 3
"3512" 372603 NA NA NA 3726 NA 0 3
"3513" 372701 1 1.256 0.573 3727 NA 1 3
"3514" 372702 NA NA NA 3727 NA 0 3
"3515" 372703 NA NA NA 3727 NA 0 3
"3516" 372801 1 0.975 0.543 3728 16 0 4
"3517" 372802 2 -1.595 0.543 3728 15 0 4
"3518" 372803 3 -4.142 0.543 3728 17 0 4
"3519" 372804 4 -1.153 0.543 3728 13 0 4
"3520" 372901 1 -0.276 0.543 3729 17 1 5
"3521" 372902 2 -0.284 0.543 3729 12 0 5
"3522" 372903 3 -1.258 0.543 3729 NA 0 5
"3523" 372904 4 -1.993 0.543 3729 NA 0 5
"3524" 372905 5 0.558 0.543 3729 NA 0 5
"3525" 373401 1 1.029 0.543 3734 18 0 3
"3526" 373402 2 -1.154 0.543 3734 NA 0 3
"3527" 373403 3 -1.35 0.543 3734 NA 1 3
"3528" 373501 1 0.812 0.543 3735 16 0 4
"3529" 373502 2 3.077 0.543 3735 16 0 4
"3530" 373503 3 0.789 0.573 3735 NA 0 4
"3531" 373504 4 0.401 0.543 3735 NA 0 4
"3532" 373601 1 1.367 0.573 3736 15 1 2
"3533" 373602 2 2.002 0.543 3736 13 0 2
"3534" 373701 1 -0.469 0.543 3737 NA 0 3
"3535" 373702 2 1.448 0.573 3737 NA 0 3
"3536" 373703 3 0.351 0.573 3737 NA 0 3
"3537" 373801 NA NA NA 3738 13 0 1
"3538" 373901 1 0.486 0.573 3739 17 0 2
"3539" 373902 2 1.64 0.573 3739 16 0 2
"3540" 374001 1 -0.364 0.543 3740 17 0 2
"3541" 374002 2 0.984 0.543 3740 17 0 2
"3542" 374101 1 1.877 0.543 3741 NA 0 1
"3543" 374401 1 -0.402 0.543 3744 17 0 1
"3544" 374601 1 0.435 0.543 3746 16 0 3
"3545" 374602 2 0.532 0.543 3746 18 0 3
"3546" 374603 3 2.726 0.543 3746 NA 0 3
"3547" 375201 1 1.112 0.543 3752 18 0 1
"3548" 375301 1 1.716 0.543 3753 17 0 4
"3549" 375302 2 2.903 0.543 3753 23 0 4
"3550" 375303 3 1.067 0.543 3753 16 0 4
"3551" 375304 4 1.671 0.573 3753 NA 0 4
"3552" 375601 1 1.069 0.543 3756 13 0 1
"3553" 375801 1 0.574 0.543 3758 NA 0 1
"3554" 375901 1 1.077 0.543 3759 15 0 3
"3555" 375902 2 -0.847 0.573 3759 NA 0 3
"3556" 375903 3 0.332 0.573 3759 15 0 3
"3557" 376801 NA NA NA 3768 16.5 0 2
"3558" 376802 2 -1.059 0.543 3768 16.5 0 2
"3559" 376901 1 -1.777 0.543 3769 16 0 3
"3560" 376902 2 0.375 0.543 3769 NA 0 3
"3561" 376903 3 -0.146 0.543 3769 NA 1 3
"3562" 377001 1 1.7 0.543 3770 NA 1 2
"3563" 377002 2 0.719 0.543 3770 18 1 2
"3564" 377101 1 -4.998 0.646 3771 NA 0 4
"3565" 377102 2 2.295 0.543 3771 NA 0 4
"3566" 377103 3 0.886 0.543 3771 NA 0 4
"3567" 377104 4 1.601 0.573 3771 NA 1 4
"3568" 377201 1 -0.915 0.573 3772 NA 1 3
"3569" 377202 NA NA NA 3772 NA 0 3
"3570" 377203 NA NA NA 3772 NA 0 3
"3571" 377301 NA NA NA 3773 NA 0 3
"3572" 377302 NA NA NA 3773 NA 0 3
"3573" 377303 NA NA NA 3773 NA 0 3
"3574" 377401 1 -0.236 0.543 3774 NA 1 2
"3575" 377402 NA NA NA 3774 17 0 2
"3576" 377901 1 0.619 0.543 3779 19 0 4
"3577" 377902 2 1.331 0.543 3779 14.5 0 4
"3578" 377903 3 1.876 0.543 3779 18 0 4
"3579" 377904 4 1.107 0.543 3779 19 0 4
"3580" 378101 1 -0.236 0.573 3781 17 0 2
"3581" 378102 NA NA NA 3781 17 1 2
"3582" 378301 1 -1.195 0.573 3783 NA 0 2
"3583" 378302 2 -0.004 0.543 3783 NA 0 2
"3584" 378401 1 -2.757 0.543 3784 15 0 2
"3585" 378402 2 -2.263 0.543 3784 12 0 2
"3586" 378601 1 1.272 0.543 3786 18 0 2
"3587" 378602 2 0.825 0.573 3786 NA 0 2
"3588" 378701 1 1.632 0.543 3787 15.5 0 4
"3589" 378702 2 1.077 0.543 3787 16 0 4
"3590" 378703 3 1.414 0.573 3787 16 0 4
"3591" 378704 4 0.434 0.573 3787 13 0 4
"3592" 379001 NA NA NA 3790 NA 0 2
"3593" 379002 2 0.226 0.543 3790 15 1 2
"3594" 379101 1 0.283 0.543 3791 16 0 3
"3595" 379102 2 1.052 0.573 3791 17 0 3
"3596" 379103 3 2.27 0.543 3791 NA 0 3
"3597" 379301 1 -0.002 0.543 3793 15 0 2
"3598" 379302 2 -0.063 0.573 3793 14 0 2
"3599" 379401 NA NA NA 3794 NA 0 3
"3600" 379402 2 1.927 0.543 3794 NA 0 3
"3601" 379403 3 0.855 0.543 3794 NA 0 3
"3602" 379701 1 0.789 0.543 3797 14 0 1
"3603" 379801 1 2.628 0.543 3798 NA 0 5
"3604" 379802 2 2.289 0.543 3798 NA 0 5
"3605" 379803 3 1.212 0.543 3798 NA 0 5
"3606" 379804 4 0.91 0.543 3798 NA 0 5
"3607" 379805 5 1.433 0.543 3798 NA 0 5
"3608" 379901 1 2.631 0.573 3799 16 1 2
"3609" 379902 NA NA NA 3799 NA 0 2
"3610" 380001 1 1.07 0.573 3800 NA 0 2
"3611" 380002 2 2.645 0.573 3800 NA 1 2
"3612" 380201 1 1.268 0.543 3802 19 0 1
"3613" 380401 1 1.585 0.543 3804 19 0 2
"3614" 380402 2 3.588 0.573 3804 20 0 2
"3615" 380601 1 0.997 0.543 3806 16 0 2
"3616" 380602 2 -0.595 0.543 3806 19 0 2
"3617" 380901 1 0.758 0.543 3809 NA 0 1
"3618" 381201 1 2.338 0.543 3812 17 0 1
"3619" 381301 NA NA NA 3813 NA 0 4
"3620" 381302 NA NA NA 3813 NA 0 4
"3621" 381303 3 1.72 0.543 3813 21 0 4
"3622" 381304 4 0.821 0.543 3813 20 0 4
"3623" 381401 1 0.883 0.543 3814 NA 0 1
"3624" 381701 1 2.635 0.573 3817 NA 0 1
"3625" 381901 1 -0.515 0.543 3819 13 0 4
"3626" 381902 2 -1.023 0.543 3819 16 0 4
"3627" 381903 3 -0.488 0.543 3819 16 0 4
"3628" 381904 4 -0.367 0.543 3819 16 0 4
"3629" 382101 1 -0.568 0.543 3821 17 1 2
"3630" 382102 2 -2.249 0.543 3821 17 0 2
"3631" 382301 1 0.917 0.543 3823 14 0 2
"3632" 382302 2 0.457 0.543 3823 16 1 2
"3633" 382401 NA NA NA 3824 16 1 3
"3634" 382402 NA NA NA 3824 13 0 3
"3635" 382403 NA NA NA 3824 NA 0 3
"3636" 382601 NA NA NA 3826 NA 1 1
"3637" 383201 1 0.788 0.543 3832 18 1 1
"3638" 383501 NA NA NA 3835 NA 1 1
"3639" 383601 1 2.07 0.543 3836 17 0 2
"3640" 383602 2 1.248 0.543 3836 NA 0 2
"3641" 383701 1 -0.254 0.573 3837 21 1 3
"3642" 383702 2 0.275 0.543 3837 15 0 3
"3643" 383703 3 0.799 0.573 3837 15 0 3
"3644" 383901 NA NA NA 3839 NA 0 3
"3645" 383902 2 0.95 0.543 3839 16 0 3
"3646" 383903 3 -0.448 0.543 3839 14 0 3
"3647" 384201 1 -0.096 0.543 3842 NA 0 3
"3648" 384202 2 2.107 0.543 3842 NA 0 3
"3649" 384203 3 0.141 0.573 3842 NA 0 3
"3650" 384301 1 1.385 0.543 3843 NA 0 2
"3651" 384302 2 2.488 0.543 3843 NA 1 2
"3652" 384601 1 -2.73 0.543 3846 NA 0 2
"3653" 384602 NA NA NA 3846 NA 0 2
"3654" 384901 1 1.078 0.543 3849 13 1 1
"3655" 385101 1 0.475 0.543 3851 16 0 2
"3656" 385102 2 0.839 0.543 3851 15 0 2
