"CASEID" "ASEID" "Intel_G2" "Intel_G2_SE" "MCASEID" "AFI_G2" "SiblinginSample" "dup"
"127" 15903 NA NA NA 159 NA 0 5
"128" 15904 NA NA NA 159 NA 0 5
"129" 15905 NA NA NA 159 NA 0 5
"130" 16001 1 0.414 0.573 160 15 0 1
"131" 16101 1 3.347 0.543 161 15 0 2
"132" 16102 2 1.307 0.573 161 15 0 2
"133" 16501 1 1.846 0.543 165 16 1 3
"134" 16502 2 2.153 0.543 165 NA 1 3
"135" 16503 3 -0.504 0.543 165 NA 1 3
"136" 16701 1 0.787 0.543 167 14 0 2
"137" 16702 2 0.982 0.543 167 NA 0 2
"138" 17201 1 1.846 0.543 172 NA 0 1
"139" 17401 1 0.554 0.543 174 16 0 2
"140" 17402 2 1.552 0.543 174 17 0 2
"141" 17501 1 2.488 0.543 175 15 0 4
"142" 17502 2 1.851 0.543 175 16 0 4
"143" 17503 3 2.489 0.543 175 18 0 4
"144" 17504 NA NA NA 175 16 0 4
"145" 17901 1 -0.08 0.555 179 18 0 2
"146" 17902 2 0.242 0.543 179 18 0 2
"147" 18001 1 1.812 0.543 180 15.5 0 3
"148" 18002 2 0.403 0.543 180 16 0 3
"149" 18003 3 0.937 0.543 180 17 0 3
"150" 18301 1 1.784 0.543 183 16 0 3
"151" 18302 2 -2.088 0.543 183 16 0 3
"152" 18303 3 0.194 0.543 183 17 0 3
"153" 18401 1 1.577 0.543 184 NA 1 1
"154" 18601 1 -1.068 0.573 186 17 0 1
"155" 18801 1 -1.634 0.543 188 17 0 1
"156" 19001 1 2.091 0.543 190 NA 0 1
"157" 19201 1 -0.715 0.543 192 18 0 3
"158" 19202 2 1.27 0.543 192 18 0 3
"159" 19203 3 1.436 0.543 192 NA 1 3
"160" 19701 1 -0.496 0.543 197 17 0 2
"161" 19702 2 -0.655 0.573 197 NA 0 2
"162" 20001 1 0.69 0.543 200 16 0 2
"163" 20002 2 1.067 0.543 200 17 0 2
"164" 20301 NA NA NA 203 NA 0 2
"165" 20302 NA NA NA 203 NA 1 2
"166" 20401 NA NA NA 204 NA 0 2
"167" 20402 2 2.981 0.543 204 16 0 2
"168" 20501 1 -0.749 0.543 205 NA 0 3
"169" 20502 NA NA NA 205 NA 0 3
"170" 20503 NA NA NA 205 16 0 3
"171" 20801 1 -0.649 0.543 208 15 0 1
"172" 21101 1 0.369 0.543 211 NA 0 4
"173" 21102 2 2.077 0.543 211 NA 0 4
"174" 21103 3 1.421 0.543 211 NA 0 4
"175" 21104 4 1.042 0.573 211 NA 0 4
"176" 22101 1 -4.731 0.646 221 17 0 4
"177" 22102 2 -3.629 0.543 221 17 0 4
"178" 22103 3 -4.753 0.646 221 16 0 4
"179" 22104 4 -1.784 0.543 221 NA 0 4
"180" 22401 NA NA NA 224 20 0 3
"181" 22402 2 1.221 0.543 224 17 0 3
"182" 22403 3 -0.223 0.543 224 14.5 0 3
"183" 22701 1 -2.357 0.555 227 13.5 0 4
"184" 22702 2 0.222 0.543 227 NA 0 4
"185" 22703 3 -0.86 0.543 227 14 0 4
"186" 22704 4 -1.052 0.543 227 18 0 4
"187" 22801 1 -4.295 0.573 228 14 0 4
"188" 22802 2 -1.297 1.402 228 18 0 4
"189" 22803 NA NA NA 228 15 0 4
"190" 22804 4 -3.605 0.543 228 16 0 4
"191" 22901 1 -0.719 0.543 229 15 0 1
"192" 23101 1 1.277 0.543 231 18 0 2
"193" 23102 2 0.658 0.543 231 17 0 2
"194" 23601 1 1.345 0.543 236 19 0 3
"195" 23602 2 -0.064 0.573 236 17 1 3
"196" 23603 3 -2.42 1.402 236 12 0 3
"197" 23701 1 2.279 0.543 237 14 0 1
"198" 23901 1 -2.375 0.573 239 15 0 3
"199" 23902 2 -0.826 0.543 239 17 0 3
"200" 23903 3 0.48 0.543 239 17 0 3
"201" 24001 1 0.472 0.543 240 16 0 2
"202" 24002 2 1.64 0.543 240 16 0 2
"203" 24201 1 1.133 0.543 242 16 0 1
"204" 24401 1 2.013 0.543 244 13 0 3
"205" 24402 2 1.709 0.543 244 17 0 3
"206" 24403 3 0.287 0.543 244 16 0 3
"207" 24501 1 0.149 0.543 245 17 0 3
"208" 24502 2 -0.211 0.543 245 14 0 3
"209" 24503 3 0.698 0.543 245 NA 0 3
"210" 24901 1 -1.308 0.543 249 17 0 4
"211" 24902 2 -0.986 0.543 249 16 0 4
"212" 24903 3 -0.311 0.543 249 NA 0 4
"213" 24904 4 -0.954 0.543 249 NA 0 4
"214" 25001 1 0.337 0.543 250 17 1 2
"215" 25002 2 0.317 0.543 250 NA 0 2
"216" 25201 1 0.858 0.543 252 24 0 2
"217" 25202 2 2.281 0.543 252 NA 0 2
"218" 25401 1 -1.091 0.543 254 NA 0 5
"219" 25402 2 0.468 0.555 254 16 0 5
"220" 25403 3 2.528 0.543 254 22 0 5
"221" 25404 4 1.347 0.543 254 NA 0 5
"222" 25405 5 1.098 0.543 254 16 0 5
"223" 25501 1 2.095 0.543 255 18 0 5
"224" 25502 2 2.198 0.543 255 19 0 5
"225" 25503 3 1.977 0.543 255 18 0 5
"226" 25504 4 3.835 0.543 255 17 0 5
"227" 25505 5 2.509 0.543 255 NA 0 5
"228" 25601 1 -0.357 0.573 256 18 0 2
"229" 25602 2 0.528 0.543 256 NA 0 2
"230" 25801 1 -0.756 0.543 258 18 0 3
"231" 25802 2 0.642 0.543 258 18 1 3
"232" 25803 3 -0.135 0.543 258 NA 0 3
"233" 26201 1 2.775 0.543 262 21 0 2
"234" 26202 NA NA NA 262 NA 0 2
"235" 26501 1 1.006 0.573 265 16 0 4
"236" 26502 2 0.691 0.543 265 17 0 4
"237" 26503 3 0.908 0.543 265 18 0 4
"238" 26504 4 0.945 0.573 265 NA 0 4
"239" 27201 1 1.305 0.543 272 20 0 4
"240" 27202 2 2.149 0.543 272 NA 0 4
"241" 27203 3 1.586 0.543 272 18 0 4
"242" 27204 4 1.496 0.543 272 NA 0 4
"243" 27501 1 0.842 0.543 275 15 0 2
"244" 27502 2 1.955 0.543 275 15 0 2
"245" 27801 1 1.088 0.543 278 16 0 4
"246" 27802 2 1.807 0.543 278 17 0 4
"247" 27803 3 1.188 0.573 278 15 1 4
"248" 27804 NA NA NA 278 NA 0 4
"249" 28201 1 1.614 0.543 282 19 0 2
"250" 28202 2 0.917 0.543 282 NA 1 2
"251" 28501 1 0.29 0.543 285 15.5 0 3
"252" 28502 2 -0.788 0.543 285 15 0 3
"253" 28503 3 -2.02 0.543 285 16 0 3
"254" 28701 NA NA NA 287 17 1 2
"255" 28702 2 -1.209 0.573 287 18 0 2
"256" 28801 1 0.919 0.543 288 14 0 6
"257" 28802 2 -0.165 0.543 288 15 0 6
"258" 28803 3 0.722 0.543 288 18 0 6
"259" 28804 4 -0.065 0.543 288 NA 0 6
"260" 28805 5 -1.759 0.543 288 NA 0 6
"261" 28806 6 -2.282 0.543 288 NA 0 6
"262" 28901 1 1.211 0.543 289 16 0 2
"263" 28902 2 0.783 0.543 289 17 1 2
